AAR,BYDEL,ALDERSKAT,FORSIKRET,ARBLED,HFUDD,PERSONER
2012,6,1,1,2,3,4
2012,6,1,1,2,4,5
2012,6,1,1,2,5,1
2012,6,1,1,2,6,1
2012,6,1,1,3,1,7
2012,6,1,1,3,2,18
2012,6,1,1,3,3,2
2012,6,1,1,3,4,4
2012,6,1,1,3,5,1
2012,6,1,1,4,1,1
2012,6,1,1,4,2,10
2012,6,1,1,4,4,1
2012,6,1,1,4,5,1
2012,6,1,1,4,6,1
2012,6,1,1,5,2,1
2012,6,1,1,5,5,1
2012,6,1,3,1,1,188
2012,6,1,3,1,2,6
2012,6,1,3,1,3,1
2012,6,1,3,1,5,1
2012,6,1,3,2,1,40
2012,6,1,3,3,1,7
2012,6,1,3,4,1,2
2012,6,2,1,1,1,60
2012,6,2,1,1,2,57
2012,6,2,1,1,3,18
2012,6,2,1,1,4,82
2012,6,2,1,1,5,34
2012,6,2,1,1,6,91
2012,6,2,1,2,1,19
2012,6,2,1,2,2,27
2012,6,2,1,2,3,6
2012,6,2,1,2,4,27
2012,6,2,1,2,5,8
2012,6,2,1,2,6,52
2012,6,2,1,3,1,10
2012,6,2,1,3,2,12
2012,6,2,1,3,3,5
2012,6,2,1,3,4,7
2012,6,2,1,3,5,1
2012,6,2,1,3,6,13
2012,6,2,1,4,1,5
2012,6,2,1,4,2,5
2012,6,2,1,4,3,3
2012,6,2,1,4,4,5
2012,6,2,1,4,5,1
2012,6,2,1,4,6,14
2012,6,2,1,5,1,1
2012,6,2,1,5,2,3
2012,6,2,1,5,4,1
2012,6,2,1,5,6,3
2012,6,2,3,1,1,50
2012,6,2,3,1,2,9
2012,6,2,3,1,4,1
2012,6,2,3,2,1,21
2012,6,2,3,2,2,2
2012,6,2,3,2,5,1
2012,6,2,3,2,6,1
2012,6,2,3,3,1,5
2012,6,2,3,3,2,2
2012,6,2,3,3,4,1
2012,6,2,3,4,1,2
2012,6,2,3,5,1,1
2012,6,2,3,5,2,2
2012,6,3,1,1,1,147
2012,6,3,1,1,2,188
2012,6,3,1,1,3,25
2012,6,3,1,1,4,121
2012,6,3,1,1,5,22
2012,6,3,1,1,6,142
2012,6,3,1,2,1,133
2012,6,3,1,2,2,146
2012,6,3,1,2,3,21
2012,6,3,1,2,4,72
2012,6,3,1,2,5,10
2012,6,3,1,2,6,100
2012,6,3,1,3,1,85
2012,6,3,1,3,2,93
2012,6,3,1,3,3,15
2012,6,3,1,3,4,49
2012,6,3,1,3,5,5
2012,6,3,1,3,6,68
2012,6,3,1,4,1,82
2012,6,3,1,4,2,79
2012,6,3,1,4,3,6
2012,6,3,1,4,4,39
2012,6,3,1,4,5,5
2012,6,3,1,4,6,46
2012,6,3,1,5,1,38
2012,6,3,1,5,2,43
2012,6,3,1,5,3,7
2012,6,3,1,5,4,11
2012,6,3,1,5,5,6
2012,6,3,1,5,6,13
2012,6,3,3,1,1,45
2012,6,3,3,1,2,21
2012,6,3,3,1,3,3
2012,6,3,3,1,4,2
2012,6,3,3,1,5,1
2012,6,3,3,1,6,4
2012,6,3,3,2,1,47
2012,6,3,3,2,2,12
2012,6,3,3,2,4,4
2012,6,3,3,2,5,2
2012,6,3,3,3,1,34
2012,6,3,3,3,2,17
2012,6,3,3,3,4,2
2012,6,3,3,3,5,1
2012,6,3,3,3,6,2
2012,6,3,3,4,1,29
2012,6,3,3,4,2,5
2012,6,3,3,4,3,4
2012,6,3,3,4,4,2
2012,6,3,3,4,6,2
2012,6,3,3,5,1,14
2012,6,3,3,5,2,6
2012,6,3,3,5,3,2
2012,6,3,3,5,4,3
2012,6,3,3,5,5,1
2012,6,3,3,5,6,2
2012,7,1,1,1,1,54
2012,7,1,1,1,2,50
2012,7,1,1,1,4,11
2012,7,1,1,1,5,2
2012,7,1,1,2,1,11
2012,7,1,1,2,2,37
2012,7,1,1,2,3,4
2012,7,1,1,2,4,2
2012,7,1,1,2,5,1
2012,7,1,1,3,1,9
2012,7,1,1,3,2,14
2012,7,1,1,3,4,6
2012,7,1,1,3,5,1
2012,7,1,1,4,1,3
2012,7,1,1,4,2,8
2012,7,1,1,4,3,1
2012,7,1,1,5,2,4
2012,7,1,3,1,1,240
2012,7,1,3,1,2,6
2012,7,1,3,1,3,1
2012,7,1,3,1,5,1
2012,7,1,3,2,1,61
2012,7,1,3,2,2,6
2012,7,1,3,3,1,15
2012,7,1,3,3,2,1
2012,7,1,3,4,1,7
2012,7,1,3,5,1,1
2012,7,2,1,1,1,63
2012,7,2,1,1,2,45
2012,7,2,1,1,3,8
2012,7,2,1,1,4,26
2012,7,2,1,1,5,18
2012,7,2,1,1,6,34
2012,7,2,1,2,1,39
2012,7,2,1,2,2,22
2012,7,2,1,2,3,6
2012,7,2,1,2,4,13
2012,7,2,1,2,5,5
2012,7,2,1,2,6,22
2012,7,2,1,3,1,26
2012,7,2,1,3,2,21
2012,7,2,1,3,3,5
2012,7,2,1,3,4,6
2012,7,2,1,3,6,12
2012,7,2,1,4,1,10
2012,7,2,1,4,2,7
2012,7,2,1,4,3,1
2012,7,2,1,4,4,1
2012,7,2,1,4,5,2
2012,7,2,1,4,6,6
2012,7,2,1,5,1,4
2012,7,2,1,5,2,3
2012,7,2,1,5,3,1
2012,7,2,3,1,1,69
2012,7,2,3,1,2,7
2012,7,2,3,1,5,1
2012,7,2,3,1,6,1
2012,7,2,3,2,1,41
2012,7,2,3,2,2,7
2012,7,2,3,3,1,22
2012,7,2,3,3,2,6
2012,7,2,3,3,6,1
2012,7,2,3,4,1,4
2012,7,2,3,4,2,2
2012,7,2,3,4,5,1
2012,7,2,3,5,1,3
2012,7,2,3,5,2,3
2012,7,3,1,1,1,256
2012,7,3,1,1,2,218
2012,7,3,1,1,3,38
2012,7,3,1,1,4,81
